user_id,joke_id,rating
112,99,-4.45
75,99,-10.0
73,99,-5.76
67,99,9.04
121,99,0.0
42,99,-5.47
84,99,8.65
33,99,-10.0
79,99,2.17
58,99,8.72
44,99,-10.0
31,99,-10.0
108,99,2.32
61,99,0.0
44,99,-7.48
31,99,-2.55
112,99,3.66
120,99,-1.54
130,99,3.01
107,99,0.0
82,99,2.15
90,99,0.0
68,99,-7.64
63,99,-4.43
108,99,9.29
116,99,3.41
67,99,0.0
82,99,0.0
72,99,-4.67
62,99,-1.38
119,99,5.08
35,99,-10.0
63,99,0.0
107,99,-4.88
95,99,9.14
51,99,-3.29
61,99,-3.19
79,99,-10.0
68,99,-9.88
111,99,7.07
59,99,7.83
85,99,-8.9
113,99,5.49
87,99,-6.91
85,99,4.8
29,99,0.0
136,99,-2.23
38,99,5.06
10,99,5.67
15,99,1.63
57,99,0.0
55,99,3.05
85,99,10.0
79,99,-9.35
33,99,-10.0
127,99,-9.15
105,99,9.39
122,99,9.13
67,99,-10.0
66,99,2.85
89,99,1.34
63,99,-8.46
79,99,0.0
126,99,-5.81
116,99,-8.76
115,99,0.0
120,99,0.0
111,99,-3.21
35,99,-8.62
93,99,7.24
77,99,10.0
74,99,2.89
82,99,9.31
65,99,7.74
66,99,-1.04
94,99,-9.76
100,99,-9.59
86,99,0.0
44,99,-10.0
53,99,-3.05
52,99,-7.85
56,99,-4.02
80,99,-3.19
109,99,5.96
106,99,0.0
54,99,0.0
115,99,10.0
58,99,-10.0
85,99,-2.93
107,99,4.27
75,99,0.0
65,99,-9.23
109,99,10.0
126,99,1.83
97,99,-10.0
74,99,4.29
51,99,-3.98
109,99,10.0
125,99,3.05
63,99,0.0
80,99,4.61
56,99,-4.86
47,99,6.3
95,99,1.95
110,99,-5.49
81,99,0.0
74,99,0.0
126,99,4.31
11,99,-3.13
98,99,0.0
43,99,1.14
72,99,-6.91
126,99,6.95
104,99,10.0
136,99,-2.8
39,99,0.0
123,99,1.57
113,99,-10.0
87,99,-10.0
59,99,0.0
116,99,0.0
52,99,9.02
115,99,0.0
90,99,-4.67
19,99,10.0
125,99,0.0
22,99,-10.0
103,99,3.01
124,99,-0.63
105,99,0.79
118,99,0.0
12,99,10.0
29,99,10.0
26,99,-1.7
109,99,0.0
122,99,6.87
77,99,10.0
79,99,3.4
98,99,-8.46
102,99,0.0
136,99,0.0
58,99,7.09
102,99,-10.0
100,99,-8.51
130,99,0.0
136,99,6.1
78,99,-2.83
81,99,-4.27
113,99,0.0
97,99,7.44
70,99,9.02
80,99,-10.0
30,99,-10.0
29,99,-7.64
94,99,0.0
122,99,-3.72
112,99,-7.99
122,99,0.0
53,99,-7.11
90,99,0.0
99,99,-10.0
102,99,-9.9
45,99,-9.47
92,99,-9.13
31,99,0.0
116,99,-4.91
99,99,0.0
93,99,-2.13
30,99,0.56
54,99,0.0
94,99,5.37
122,99,-5.08
104,99,-9.59
108,99,0.0
65,99,10.0
92,99,2.3
80,99,0.0
116,99,0.0
55,99,2.72
124,99,0.0
20,99,0.0
69,99,-6.46
120,99,-9.57
108,99,6.63
43,99,-7.24
67,99,-6.26
15,99,-10.0
72,99,-10.0
81,99,0.41
120,99,9.35
41,99,-6.91
13,99,-9.72
97,99,-10.0
114,99,-2.52
14,99,-6.38
87,99,0.0
125,99,-1.5
35,99,0.0
43,99,1.71
72,99,0.0
28,99,0.0
113,99,2.72
114,99,0.0
123,99,-9.13
10,99,0.0
86,99,-4.88
28,99,-10.0
92,99,10.0
113,99,1.67
62,99,8.17
18,99,-5.16
52,99,-10.0
78,99,6.19
17,99,-10.0
69,99,-4.15
101,99,8.67
98,99,-2.91
108,99,-4.07
57,99,-10.0
101,99,0.0
110,99,-4.24
93,99,0.15
53,99,0.0
67,99,-6.85
95,99,5.07
123,99,0.0
99,99,-9.67
26,99,0.0
115,99,6.39
99,99,-10.0
109,99,-5.16
108,99,-2.52
107,99,-10.0
99,99,0.0
118,99,0.0
136,99,-9.3
114,99,0.53
127,99,0.0
54,99,0.0
62,99,6.29
110,99,0.0
127,99,0.0
129,99,-9.51
49,99,-9.59
16,99,-9.31
36,99,-10.0
48,99,0.0
100,99,-9.61
74,99,-10.0
53,99,-9.71
45,99,0.0
50,99,-10.0
84,99,-5.49
45,99,-10.0
45,99,-4.45
121,99,-3.58
97,99,7.76
35,99,-10.0
114,99,4.72
109,99,-9.43
58,99,-9.63
110,99,-10.0
56,99,10.0
60,99,1.95
23,99,-10.0
112,99,3.33
98,99,-4.07
56,99,-8.56
91,99,-10.0
89,99,10.0
59,99,-10.0
125,99,10.0
51,99,-8.39
50,99,-2.24
112,99,7.54
28,99,3.62
17,99,-6.79
45,99,-6.59
48,99,0.35
34,99,-6.44
121,99,4.86
42,99,7.34
18,99,0.0
84,99,-10.0
33,99,-10.0
48,99,0.0
79,99,0.0
58,99,-9.01
52,99,0.0
44,99,-8.98
31,99,-10.0
44,99,7.4
31,99,-5.67
28,99,2.76
55,99,-4.23
68,99,0.77
120,99,0.0
130,99,4.8
107,99,2.4
68,99,-7.48
63,99,-4.23
78,99,0.0
104,99,0.0
108,99,2.55
36,99,4.28
116,99,7.64
94,99,-5.12
21,99,2.64
36,99,-4.47
82,99,-3.49
43,99,4.47
72,99,1.3
36,99,-5.04
12,99,6.71
62,99,-5.57
57,99,-2.76
67,99,0.77
86,99,0.65
40,99,-5.53
119,99,9.15
35,99,-10.0
91,99,9.19
107,99,-2.97
19,99,-9.31
32,99,-5.37
93,99,0.0
58,99,1.67
55,99,4.35
50,99,-4.72
95,99,-4.94
51,99,0.0
68,99,-9.72
93,99,0.0
